return_id,product_id,claim_id,claim_date,claim_qty,status
R00001,P0008,C00001,2025-03-04,4,Submitted
R00002,P0079,C00002,2025-03-13,3,Submitted
R00003,P0027,C00003,2025-03-29,8,Approved
R00004,P0174,C00004,2025-03-06,10,Submitted
R00005,P0050,C00005,2025-05-02,7,Approved
R00006,P0500,C00006,2025-04-22,10,Submitted
R00007,P0199,C00007,2025-03-24,4,Submitted
R00008,P0387,C00008,2025-04-11,8,Submitted
R00009,P0349,C00009,2025-03-26,5,Submitted
R00010,P0448,C00010,2025-04-26,6,Submitted
R00011,P0428,C00011,2025-02-17,3,Submitted
R00012,P0181,C00012,2025-05-01,9,Submitted
R00013,P0024,C00013,2025-03-01,6,Approved
R00014,P0316,C00014,2025-05-02,5,Submitted
R00015,P0378,C00015,2025-04-13,3,Submitted
R00016,P0387,C00016,2025-02-18,7,Approved
R00017,P0404,C00017,2025-03-04,8,Submitted
R00018,P0046,C00018,2025-02-20,9,Approved
R00019,P0015,C00019,2025-03-06,6,Approved
R00020,P0153,C00020,2025-04-10,6,Rejected
R00021,P0222,C00021,2025-04-26,3,Submitted
R00022,P0206,C00022,2025-03-27,7,Rejected
R00023,P0455,C00023,2025-02-24,9,Approved
R00024,P0273,C00024,2025-04-27,7,Approved
R00025,P0382,C00025,2025-02-07,1,Rejected
R00026,P0236,C00026,2025-04-01,5,Submitted
R00027,P0340,C00027,2025-04-17,8,Approved
R00028,P0228,C00028,2025-02-09,7,Submitted
R00029,P0009,C00029,2025-03-05,4,Submitted
R00030,P0166,C00030,2025-02-16,10,Submitted
R00031,P0432,C00031,2025-05-09,1,Submitted
R00032,P0444,C00032,2025-02-18,3,Submitted
R00033,P0319,C00033,2025-03-20,3,Rejected
R00034,P0214,C00034,2025-04-15,8,Approved
R00035,P0117,C00035,2025-03-29,3,Approved
R00036,P0386,C00036,2025-02-21,2,Approved
R00037,P0344,C00037,2025-05-02,3,Submitted
R00038,P0072,C00038,2025-04-06,3,Submitted
R00039,P0395,C00039,2025-02-17,6,Submitted
R00040,P0064,C00040,2025-02-12,5,Submitted
R00041,P0205,C00041,2025-03-15,4,Approved
R00042,P0209,C00042,2025-03-29,8,Approved
R00043,P0072,C00043,2025-03-12,7,Submitted
R00044,P0277,C00044,2025-02-10,7,Submitted
R00045,P0274,C00045,2025-03-12,4,Submitted
R00046,P0478,C00046,2025-05-01,1,Submitted
R00047,P0320,C00047,2025-05-09,6,Submitted
R00048,P0338,C00048,2025-02-06,1,Submitted
R00049,P0366,C00049,2025-03-14,6,Submitted
R00050,P0495,C00050,2025-04-06,6,Rejected
R00051,P0095,C00051,2025-04-08,4,Submitted
R00052,P0166,C00052,2025-03-10,4,Approved
R00053,P0032,C00053,2025-03-31,2,Approved
R00054,P0011,C00054,2025-04-24,6,Submitted
R00055,P0301,C00055,2025-05-05,10,Approved
R00056,P0217,C00056,2025-04-10,3,Submitted
R00057,P0289,C00057,2025-05-04,2,Submitted
R00058,P0102,C00058,2025-03-03,6,Submitted
R00059,P0425,C00059,2025-02-22,9,Approved
R00060,P0392,C00060,2025-04-14,2,Submitted
R00061,P0267,C00061,2025-02-19,9,Submitted
R00062,P0214,C00062,2025-03-15,7,Submitted
R00063,P0179,C00063,2025-02-21,3,Submitted
