return_id,order_id,product_id,return_date,reason,qty,supplier_id
R00001,O00001,P0008,2025-02-27,Expired,5,S029
R00002,O00002,P0079,2025-03-13,Wrong Item,2,S050
R00003,O00003,P0027,2025-03-22,Damaged,8,S047
R00004,O00004,P0174,2025-03-01,Damaged,9,S022
R00005,O00005,P0050,2025-05-01,Changed Mind,7,S038
R00006,O00006,P0500,2025-04-15,Defective,9,S026
R00007,O00007,P0199,2025-03-21,Damaged,4,S007
R00008,O00008,P0387,2025-04-03,Wrong Item,7,S040
R00009,O00009,P0349,2025-03-23,Damaged,5,S022
R00010,O00010,P0448,2025-04-26,Expired,5,S008
R00011,O00011,P0428,2025-02-11,Defective,3,S029
R00012,O00012,P0181,2025-04-22,Changed Mind,9,S036
R00013,O00013,P0024,2025-02-25,Defective,5,S001
R00014,O00014,P0316,2025-04-23,Expired,6,S023
R00015,O00015,P0378,2025-04-09,Expired,3,S023
R00016,O00016,P0387,2025-02-15,Expired,7,S040
R00017,O00017,P0404,2025-02-27,Expired,9,S029
R00018,O00018,P0046,2025-02-20,Wrong Item,9,S017
R00019,O00019,P0015,2025-03-04,Changed Mind,5,S047
R00020,O00020,P0153,2025-04-04,Expired,7,S018
R00021,O00021,P0222,2025-04-19,Expired,3,S017
R00022,O00022,P0206,2025-03-19,Damaged,6,S045
R00023,O00023,P0455,2025-02-24,Changed Mind,8,S026
R00024,O00024,P0273,2025-04-24,Defective,8,S002
R00025,O00025,P0382,2025-02-06,Changed Mind,2,S017
R00026,O00026,P0236,2025-03-31,Changed Mind,6,S034
R00027,O00027,P0340,2025-04-17,Changed Mind,7,S014
R00028,O00028,P0228,2025-02-05,Expired,7,S003
R00029,O00029,P0009,2025-03-04,Expired,3,S013
R00030,O00030,P0166,2025-02-13,Wrong Item,9,S049
R00031,O00031,P0432,2025-05-01,Defective,2,S045
R00032,O00032,P0444,2025-02-16,Damaged,3,S010
R00033,O00033,P0319,2025-03-13,Changed Mind,2,S002
R00034,O00034,P0214,2025-04-06,Defective,9,S010
R00035,O00035,P0117,2025-03-24,Defective,4,S010
R00036,O00036,P0386,2025-02-12,Wrong Item,2,S014
R00037,O00037,P0344,2025-04-28,Damaged,3,S012
R00038,O00038,P0072,2025-04-05,Changed Mind,4,S028
R00039,O00039,P0395,2025-02-15,Damaged,6,S042
R00040,O00040,P0064,2025-02-05,Wrong Item,5,S045
R00041,O00041,P0205,2025-03-07,Expired,3,S047
R00042,O00042,P0209,2025-03-23,Defective,8,S035
R00043,O00043,P0072,2025-03-12,Changed Mind,8,S028
R00044,O00044,P0277,2025-02-05,Expired,7,S004
R00045,O00045,P0274,2025-03-06,Wrong Item,3,S020
R00046,O00046,P0478,2025-04-26,Damaged,1,S014
R00047,O00047,P0320,2025-04-30,Defective,5,S013
R00048,O00048,P0338,2025-02-05,Changed Mind,1,S044
R00049,O00049,P0366,2025-03-06,Expired,6,S045
R00050,O00050,P0495,2025-04-04,Expired,7,S021
R00051,O00051,P0095,2025-04-03,Defective,5,S011
R00052,O00052,P0166,2025-03-05,Damaged,4,S049
R00053,O00053,P0032,2025-03-24,Wrong Item,2,S025
R00054,O00054,P0011,2025-04-21,Damaged,5,S035
R00055,O00055,P0301,2025-04-30,Damaged,9,S001
R00056,O00056,P0217,2025-04-10,Damaged,4,S039
R00057,O00057,P0289,2025-04-26,Defective,2,S044
R00058,O00058,P0102,2025-02-23,Defective,6,S018
R00059,O00059,P0425,2025-02-16,Wrong Item,8,S029
R00060,O00060,P0392,2025-04-14,Damaged,2,S003
R00061,O00061,P0267,2025-02-17,Defective,9,S040
R00062,O00062,P0214,2025-03-11,Wrong Item,7,S010
R00063,O00063,P0179,2025-02-18,Wrong Item,2,S017
R00064,O00064,P0088,2025-04-26,Damaged,5,S047
R00065,O00065,P0041,2025-04-13,Changed Mind,5,S001
R00066,O00066,P0401,2025-03-11,Damaged,7,S039
R00067,O00067,P0076,2025-04-03,Changed Mind,5,S026
