return_id,order_id,product_id,return_date,reason,qty,supplier_id,product_name,cost_price,return_policy_days,claim_id,claim_date,claim_qty,status,order_date,days_since_order,within_policy,qty_match,reconciliation_status,mismatch_reason,return_week
R00001,O00001,P0008,2025-02-27,Expired,5,S029,Chair,434.43,21,C00001,2025-03-04,4,Submitted,2025-01-14,44,False,False,Mismatched,Late & Qty Mismatch,9
R00002,O00002,P0079,2025-03-13,Wrong Item,2,S050,Sea,185.65,22,C00002,2025-03-13,3,Submitted,2025-01-24,48,False,False,Mismatched,Late & Qty Mismatch,11
R00003,O00003,P0027,2025-03-22,Damaged,8,S047,Decide,107.84,63,C00003,2025-03-29,8,Approved,2025-03-22,0,True,True,Matched,No Issue,12
R00004,O00004,P0174,2025-03-01,Damaged,9,S022,Traditional,120.98,68,C00004,2025-03-06,10,Submitted,2024-11-24,97,False,False,Mismatched,Late & Qty Mismatch,9
R00005,O00005,P0050,2025-05-01,Changed Mind,7,S038,Great,100.58,15,C00005,2025-05-02,7,Approved,2025-04-25,6,True,True,Matched,No Issue,18
R00006,O00006,P0500,2025-04-15,Defective,9,S026,Hope,493.24,67,C00006,2025-04-22,10,Submitted,2025-04-14,1,True,False,Mismatched,Qty Mismatch,16
R00007,O00007,P0199,2025-03-21,Damaged,4,S007,Not,444.67,58,C00007,2025-03-24,4,Submitted,2024-12-26,85,False,True,Mismatched,Late Return,12
R00008,O00008,P0387,2025-04-03,Wrong Item,7,S040,Time,148.2,59,C00008,2025-04-11,8,Submitted,2025-03-31,3,True,False,Mismatched,Qty Mismatch,14
R00009,O00009,P0349,2025-03-23,Damaged,5,S022,Ready,193.56,81,C00009,2025-03-26,5,Submitted,2025-02-07,44,True,True,Matched,No Issue,12
R00010,O00010,P0448,2025-04-26,Expired,5,S008,Call,379.16,43,C00010,2025-04-26,6,Submitted,2025-03-12,45,False,False,Mismatched,Late & Qty Mismatch,17
R00011,O00011,P0428,2025-02-11,Defective,3,S029,Apply,444.98,34,C00011,2025-02-17,3,Submitted,2024-11-20,83,False,True,Mismatched,Late Return,7
R00012,O00012,P0181,2025-04-22,Changed Mind,9,S036,Knowledge,177.12,50,C00012,2025-05-01,9,Submitted,2025-02-15,66,False,True,Mismatched,Late Return,17
R00013,O00013,P0024,2025-02-25,Defective,5,S001,Play,189.52,36,C00013,2025-03-01,6,Approved,2025-02-17,8,True,False,Mismatched,Qty Mismatch,9
R00014,O00014,P0316,2025-04-23,Expired,6,S023,Avoid,351.03,73,C00014,2025-05-02,5,Submitted,2025-02-01,81,False,False,Mismatched,Late & Qty Mismatch,17
R00015,O00015,P0378,2025-04-09,Expired,3,S023,Billion,21.4,47,C00015,2025-04-13,3,Submitted,2025-02-12,56,False,True,Mismatched,Late Return,15
R00016,O00016,P0387,2025-02-15,Expired,7,S040,Time,148.2,59,C00016,2025-02-18,7,Approved,2025-01-31,15,True,True,Matched,No Issue,7
R00017,O00017,P0404,2025-02-27,Expired,9,S029,Step,414.96,44,C00017,2025-03-04,8,Submitted,2025-01-08,50,False,False,Mismatched,Late & Qty Mismatch,9
R00018,O00018,P0046,2025-02-20,Wrong Item,9,S017,Fall,334.64,30,C00018,2025-02-20,9,Approved,2024-12-31,51,False,True,Mismatched,Late Return,8
R00019,O00019,P0015,2025-03-04,Changed Mind,5,S047,Begin,99.09,38,C00019,2025-03-06,6,Approved,2025-02-24,8,True,False,Mismatched,Qty Mismatch,10
R00020,O00020,P0153,2025-04-04,Expired,7,S018,Evidence,81.0,59,C00020,2025-04-10,6,Rejected,2025-01-12,82,False,False,Mismatched,Late & Qty Mismatch,14
R00021,O00021,P0222,2025-04-19,Expired,3,S017,Process,288.47,40,C00021,2025-04-26,3,Submitted,2025-04-14,5,True,True,Matched,No Issue,16
R00022,O00022,P0206,2025-03-19,Damaged,6,S045,Finally,14.51,75,C00022,2025-03-27,7,Rejected,2025-02-04,43,True,False,Mismatched,Qty Mismatch,12
R00023,O00023,P0455,2025-02-24,Changed Mind,8,S026,Among,64.49,72,C00023,2025-02-24,9,Approved,2024-12-08,78,False,False,Mismatched,Late & Qty Mismatch,9
R00024,O00024,P0273,2025-04-24,Defective,8,S002,News,434.87,76,C00024,2025-04-27,7,Approved,2024-12-29,116,False,False,Mismatched,Late & Qty Mismatch,17
